Date,Type,Model,模型尺寸,自研基础模型,机构,机构类型,区域
2024/2/23,LLM,llama1,"7B, 13B, 65B",是,Meta,科技大厂,国外
2024/3/23,LLM,alpaca(llama1),"7B, 13B, 65B",否,斯坦福,学术机构,国外
2024/3/23,LLM,chatglm-6B,6B,是,智谱AI,大模型创业公司,国内
2024/4/23,LLM,baichuan-7B,7B,是,百川智能,大模型创业公司,国内
2024/4/23,LLM,belle(llama1),"7B, 13B",否,链家科技,其他企业,国内
2024/4/23,LMM,LLaVA,"7B, 13B",否,University of Wisconsin-Madison,学术机构,国外
2024/6/23,LLM,chatglm2-6B,6B,是,智谱AI,大模型创业公司,国内
2024/6/23,LLM,Aquila,"7B, 33B",是,智源研究院,学术机构,国内
2024/6/23,LLM,ziya-1(llama1),"7B, 13B",否,IDEA研究院,学术机构,国内
2024/7/23,LLM,baichuan-13B,13B,是,百川智能,大模型创业公司,国内
2024/7/23,LLM,llama2,"7B, 13B, 30B, 70B",是,Meta,科技大厂,国外
2024/7/23,LLM,InternLM-7B,7B,是,上海AI实验室,学术机构,国内
2024/7/23,LLM,belle-llama2,13B,否,链家科技,其他企业,国内
2023/8/30,LLM,Qwen,"7B, 14B",是,阿里,科技大厂,国内
2024/8/23,LMM,Qwen-VL-Chat,9.6B,是,阿里,科技大厂,国内
2023/8/30,LLM,XVERSE,"7B, 13B",是,元象科技,其他企业,国内
2024/9/23,LLM,baichuan2-7B/13B,"7B, 13B",是,百川智能,大模型创业公司,国内
2024/9/23,LLM,falcon,"7B, 40B, 180B",是,TII研究院,学术机构,国外
2024/9/23,LLM,InternLM-20B,20B,是,上海AI实验室,学术机构,国内
2024/9/23,LLM,Mistral-7B,7B,是,Mistral,大模型创业公司,国外
2024/9/23,LLM,"phi-1, Phi-1.5",1.3B,是,微软,科技大厂,国外
2024/10/23,LLM,ChatGLM3-6B,6B,是,智谱AI,大模型创业公司,国内
2024/10/23,LLM,ziya-2(llama2),13B,否,IDEA研究院,学术机构,国内
2023/10/30,LLM,Aquila2,"7B, 34B, 70B",是,智源研究院,学术机构,国内
2024/11/23,LLM,Qwen,72B，1.8B,是,阿里,科技大厂,国内
2024/11/23,LLM,XVERSE-65B,65B,是,元象科技,其他企业,国内
2024/11/23,LLM,YI,"6B, 34B",是,零一万物,大模型创业公司,国内
2024/11/23,LLM,deepseek-llm,"7B, 67B",是,深度求索,大模型创业公司,国内
2024/12/23,LLM,Mixtral 8x7B,56B MoE,是,Mistral,大模型创业公司,国外
2024/12/23,LLM,phi-2,2.7B,是,微软,科技大厂,国外
2024/12/23,LMM,LLaVA-1.5-13B,13B,否,University of Wisconsin-Madison,学术机构,国外
2024/1/24,LLM,InternLM2,"7B, 20B",是,上海AI实验室,学术机构,国内
2024/1/24,LMM,Monkey-Chat(qwen-7b),9.8B,否,华中科大,学术机构,国内
2024/1/24,LMM,Yi-VL,"6B, 34B",是,零一万物,大模型创业公司,国内
2024/1/24,LMM,InternLM-XComposer2(InternLM2-7B),7B,是,上海AI实验室,学术机构,国内
